id,name,price,onSale,color,material,condition,occasion,brand,manufacturer,hasHeels,countryOfOrigin
AVpe_fkcilAPnD_xSivo,"Delight-1018uv, 6'' Heel, 1 3/4'' Platform Ankle Boot",46.99,FALSE,Neon Yellow PatYellow,,,,PleaserUSA,PleaserUSA,TRUE,
AVpe_fKZLJeJML43z-S9,Easy Spirit Womens Tosina Suede Loafers Fashion Sneakers,89,FALSE,BlackBlack Suede,Leather/Textile/Man Made,,,Easy Spirit,Easy Spirit,TRUE,
AVpe_fMbilAPnD_xSinw,So For Her Jelly Sandals White Size Large (9/10),19.95,FALSE,,,,,So For Her,So For Her,FALSE,
AVpe_FswLJeJML43z1tk,Puma Axel Ballet Metallic Women's Shoes Size,59.9,FALSE,LimestoneSilverFluro Pink,,,,PUMA,,FALSE,
AVpe_FYT1cnluZ0-bXMH,Allegra K Women's Open Toe Lace-up Cutout Platform Wedge Sandals Black (size 11),70.99,FALSE,,PU,,,G Antini,,FALSE,
AVpe_g_bLJeJML43z-4y,Diesel Eagles Women  Round Toe Suede  Boot,197,FALSE,,Suede,,,Diesel,Diesel,TRUE,
AVpe_Gbu1cnluZ0-bXke,Reebok Yourflex Trainette 7.0lmt Women  Round Toe Synthetic  Cross Training,60,FALSE,CherryWhite,Synthetic,,,Reebok,Reebok,FALSE,
AVpe_Gc-ilAPnD_xSaV9,Crocs Kadee Flat   Round Toe Synthetic  Flats,31.95,FALSE,Black,Synthetic,,,Crocs,Crocs,TRUE,
AVpe_GD0LJeJML43z11w,Kate Spade Ilisandra   Peep-toe Synthetic  Mules,328,FALSE,Multicolor,Synthetic,,,kate spade,kate spade,TRUE,
AVpe_gDiilAPnD_xSi5S,White Mountain Latara Women  Round Toe Synthetic Brown Knee High Boot,100,FALSE,Brown,Synthetic,,,White Mountain,White Mountain,TRUE,
AVpe_gjjilAPnD_xSjEP,Journee Collection Women's 'Shelley-3' Slouch Mid-Calf Microsuede Boot by Journee Collection,33.14,FALSE,"Black,Brown,Grey,Purple",,,,Journee Collection,,TRUE,China
AVpe_h2LLJeJML43z_MH,Women's Classic Ballet Flat,5.87,FALSE,,,,,Generic,,FALSE,
AVpe_HaQilAPnD_xSasO,"Sneed- Women's Dance Shoes Latin Pu Low Heel (more Colors), Leopard-us4.5 / Eu36 / Uk3.5 Big Kids , Leopard-us4.5 / Eu36 / Uk3.5 Big Kids",62,FALSE,,,,,,SNEED,FALSE,
AVpe_hb31cnluZ0-bglN,Giro Sante Ii Women  Round Toe Patent Leather  Cross Training,100,FALSE,Black,Leather,,athletic,Giro,Giro,FALSE,
AVpe_hd8ilAPnD_xSjXX,"G By Guess Women's Dawna Platform Sandal, Tan, Size 8.0",33.54,FALSE,Light Natural,,,Formal,G BY GUESS,G by Guess,TRUE,
AVpe_heL1cnluZ0-bglw,Madison Harding Jackie 13 Women  Round Toe Suede  Bootie,280,FALSE,,Suede,,fashion,Madison Harding,Madison Harding,TRUE,
AVpe_htmilAPnD_xSjdn,Wanted Babe Women  Moc Toe Synthetic  Oxford,50,FALSE,,Synthetic,,,WANTED,Wanted,TRUE,
AVpe_hwAilAPnD_xSjeY,'betty' Slipper (women),37.95,FALSE,,,,,patricia green,,FALSE,
AVpe_i_91cnluZ0-bhJ9,Indigo Rd. Leana Women  Round Toe Synthetic  Over The Knee Boot,99,FALSE,Brown,Synthetic,,,Indigo Rd.,Indigo Rd.,TRUE,
AVpe_i0qLJeJML43z_kC,Muk Luks Women's Fairisle Amira Slipper,16.99,FALSE,,,,,MUK LUKS,,FALSE,
AVpe_IAx1cnluZ0-bYJ7,Chelsea & Zoe Womens Kaarina Pointed Toe Ankle Fashion Boots,44.59,FALSE,,,,Formal,Chelsea & Zoe,Chelsea & Zoe,TRUE,
AVpe_iMBilAPnD_xSjo9,'milla' Pump,1095,FALSE,,,,,Christian Louboutin,,FALSE,
AVpfOrDTilAPnD_xXrRS,Yu&yu Women's Shoes Round Toe Chunky Heel Oxfords Shoes More Colors Available,86.76,FALSE,"Yellow,Beige,Orange",,,,,Qianyuyu,FALSE,
AVpe_iU11cnluZ0-bg5t,"Ellie Shoes E-305-jesse, 3 Heel Clear Mule With Rhinestones. Clear 15""",62.96,FALSE,Clear,,,,ELLIE SHOES,ELLIE SHOES,FALSE,
AVpe_j_q1cnluZ0-bhhr,Dyeables Poppy Women D Pointed Toe Synthetic Silver Slingback Heel,110,FALSE,,Synthetic,,,Dyeables,Dyeables,TRUE,
AVpe_JO1ilAPnD_xSbSz,Ellie Women's 'Leelo-527' Dual Platform Stiletto Heels,116.99,FALSE,"Black,White,Black White",,,,Ellie,,TRUE,China
AVpe_JY-LJeJML43z3Bf,Franco Sarto Colletta   Open Toe Leather  Wedge Heel,85,FALSE,Brown,Leather,,,Franco Sarto,Franco Sarto,TRUE,
AVpe_KALilAPnD_xSbi9,Blowfish Women's Demure Nat Sunburst Crochet Ankle-high Fabric Flat Shoe - 7.5m,39.59,FALSE,,,,Casual,Blowfish,Blowfish,FALSE,
AVpe_k-B1cnluZ0-bh4g,Muk Luks174 Women's Pink Allison Wedge Sandals,43.95,FALSE,"Pink,Charcoal",,,Casual,MUK LUKS174,,TRUE,
AVpe_kgCilAPnD_xSkfz,"Touch Ups Womens Ashley Sandal,gold,11 M Us",38.14,FALSE,Gold,,,,Touch Ups,,FALSE,
AVpe_KG-ilAPnD_xSblM,Propet Scuff - Slipper - Women's - Cinnamon,43.95,FALSE,"Brown,Cinnamon",,,,Propet,,FALSE,
AVpe_Kj4LJeJML43z3aQ,Michael Michael Kors Women's Wendy Mid Heel Strappy Sandals,54.99,FALSE,"Black,Natural",Leather,,Wear to Work,MICHAEL Michael Kors,MICHAEL Michael Kors,TRUE,
AVpe_knA1cnluZ0-bhvt,Michael Michael Kors Natalia Wedge Women Us 11 White Pre Owned Blemish 1650,29.99,FALSE,White,Leather,,,Michael Michael Kors,,TRUE,
AVpe_kNBilAPnD_xSkYv,Corso Como Women's Flounder Flat,30.58,FALSE,,,,,Corso Como,Corso Como,FALSE,
AVpe_KSZ1cnluZ0-bY5y,Flip Iii Shoe - Women's,23.34,FALSE,,,,,Chassé,,FALSE,
AVpff4VBLJeJML43-Qy7,Yu&yu Women's Shoes Pointed Toe Flat Heel Flats Shoes More Colors Available,128.18,FALSE,"Black,Gold,Silver",,,,,Qianyuyu,FALSE,
AVpe_kygLJeJML430ARg,J Shoes King Cobra   Open Toe Leather  Sandals,109,FALSE,,Leather,,,J Shoes,J Shoes,TRUE,
AVpe_kZDilAPnD_xSkdO,Yu&yu Women's Shoes Round Toe Low Heel Loafers Shoes More Colors Available,112.15,FALSE,"White,Black,Brown",,,,,Qianyuyu,FALSE,
AVpe_l_ILJeJML430AtS,Caparros Pandora   Open-toe Synthetic  Slingback Sandal,69,FALSE,Silver,Synthetic,,,Caparros,Caparros,FALSE,
AVpfLW4KilAPnD_xWl5M,Yu&yu Women's Shoes Round Toe Flat Heel Loafers Shoes More Colors Available,71.27,FALSE,"Red,Black,Navy,Yellow",,,,,Qianyuyu,FALSE,
AVpe_leS1cnluZ0-biEc,Brinley Co. Womens Comfort Sole Round Toe Pumps,29.99,FALSE,"Black Suede,Navy Suede",Fabric,,,Brinley Co.,Brinley Co,FALSE,
AVpe_LKw1cnluZ0-bZNT,Calvin Klein Zizi Women  Open Toe Suede Black Slides Sandal,89,FALSE,,Suede,,fashion,Calvin Klein,Calvin Klein,TRUE,
AVpe_lkxLJeJML430Ak9,Grasshoppers Prospect Clog Women  Round Toe Suede Gray Mules,50,FALSE,,Suede,,,Grasshoppers,Grasshoppers,TRUE,
AVpe_M05LJeJML43z4Kn,Vince Patton   Round Toe Suede  Sneakers,250,FALSE,,Suede,,athletic,Vince,Vince,FALSE,
AVpe_mSiilAPnD_xSlI7,Lamo Women's Britian Mc Ii Moccasin,31.99,FALSE,"Black,Grey,Pink,Chocolate,Chestnut",Suede,,,Lamo Sheepskin Inc,Lamo Sheepskin Inc,FALSE,
AVpe_mv7LJeJML430A-M,Hades Langdon-blk-11 Langdon Shoe - Black - Size  11,320.58,FALSE,,,,,Hades,,FALSE,
AVpe_MYWLJeJML43z4A1,Nina Women's 'Carrie' Synthetic Dress Shoes by Nina,51.99,FALSE,Silver,,,,Nina,,TRUE,China
AVpe_mzb1cnluZ0-biiL,Nine West Vintage America Collection Vermillion Brown Womens Shoes 11 M Boots,79.5,FALSE,Browns,Leather,,,Nine West Vintage America Collection,,FALSE,
AVpe_nuXilAPnD_xSlod,New Balance Ww496 Women Us 9 White Walking Shoe,44.99,FALSE,White,Synthetic,New with box,,New Balance,,FALSE,
AVpe_OiI1cnluZ0-baVv,Ellie 821-vanity Women  Open Toe Synthetic  Platform Heel,70,FALSE,Clear,Synthetic,,dress,Ellie,Ellie,TRUE,
AVpe_oWSLJeJML430Bf9,Easy Spirit Peregrine Women  Round Toe Suede Gray Sneakers,69,FALSE,,Suede,,,Easy Spirit,Easy Spirit,FALSE,
AVpe_paCLJeJML430B5G,'kate' Ankle Strap Sandal (women),695,FALSE,,,,,Saint Laurent,,FALSE,
AVpe_PKS1cnluZ0-baj8,"Plus Size Pirate Boot, 3 3/4''",27.33,FALSE,Black Pu,,,,"Pleaser USA, Inc.",PleaserUSA,FALSE,
AVpe_pwXLJeJML430CA3,Chelsea Crew Helena Women's Chunky Mary Jane Pumps Dress Shoes,70,FALSE,,,,,Chelsea Crew,,TRUE,
AVpe_qTKLJeJML430CNk,Bearpaw Women's Begonia Coral Ankle-high Fabric Sandal - 6m,33.8,FALSE,,,,Fashion,Bearpaw,Bearpaw,FALSE,
AVpe_R8TLJeJML43z51x,Df By Dearfoam Women's Cable Knit Scuff Slipper,12.98,FALSE,Grey,,,,DF by Dearfoams,,FALSE,
AVpe_rA1ilAPnD_xSmyZ,Yu&yu Women's Shoes Round Toe Chunky Heel Oxfords With Lace-up Shoes More Colors Available,126.18,FALSE,"Red,Black,Beige,Brown",,,,,Qianyuyu,FALSE,
AVpe_RQVilAPnD_xSd8G,Badgley Mischka Meghan   Open-toe Canvas  Slingback Heel,260,FALSE,Silver,Canvas,,,Badgley Mischka,Badgley Mischka,TRUE,
AVpe_rtiilAPnD_xSnC5,Toms Classic Wedge Women Us 8 Black Wedge Sandal Pre Owned 1654,39.99,FALSE,Black,Canvas,,,Toms,,TRUE,
AVpe_RxrLJeJML43z5yK,'cactus' Mary Jane Flat (women),49.95,FALSE,,,,,Simple,,FALSE,
AVpe_RyCilAPnD_xSeG6,Nine West Women's Size 12 White Leather Wedge Sandals,24.99,FALSE,White,Leather,New with box,,Nine West,,FALSE,
AVpe_-rYilAPnD_xStsc,Dv By Dolce Vita Women's Nanette Tribal Print Calf Hair Sandal,40.59,FALSE,,,,,DV by Dolce Vita,DV by Dolce Vita,FALSE,
AVpe_-RzLJeJML430JWQ,Zigi Soho Advice   Open Toe Canvas  Thong Sandal,50,FALSE,,Canvas,,fashion,Zigi Soho,Zigi Soho,TRUE,
AVpe_sEaLJeJML430C2v,'my Muse' Pump,425,FALSE,,,,,Salvatore Ferragamo,,FALSE,
AVpe_sM4LJeJML430C5w,Talitha Suede Boot,1250,FALSE,Black,,,,Ralph Lauren,,FALSE,
AVpe_SP4ilAPnD_xSeQ9,Lauren By Ralph Lauren New Ryan Black Womens Shoes Size 7.5 M Sandals Msrp $125,30,TRUE,Blacks,,,,Lauren by Ralph Lauren,,TRUE,
AVpe_Tp61cnluZ0-bcA2,Mia Girl Women's  Basket Espadrille Wedge Sandal,59,FALSE,"Cognac,White",Synthetic,,casual,Mia,MIA,TRUE,
AVpe_tsbilAPnD_xSnvI,Toms Women's Alpargata Vintage Canvas Navy/multi Ankle-high Canvas Flat Shoe - 5.5m,39.15,FALSE,NavyMulti,,,,TOMS,Toms,FALSE,
AVpe_tZZilAPnD_xSnoQ,Diane Von Furstenberg Women's Valentina Dress Sandal,350,FALSE,,,,,Diane von Furstenberg,,FALSE,
AVpe_uAULJeJML430Di_,Adult Gogo Boots Choice of Colors,29.65,FALSE,"Multi-Colored,Pink","Upper Material||PATENT POLYURETHANE , Heel Material||ABS (Plastic)",,,ELLIE SHOES,ELLIE SHOES,FALSE,
AVpe_UGuLJeJML43z6kG,Keds Women's Champion Distressed Sneaker,89.38,FALSE,"Tan,Green,Graphite,Navy",,,,,Sperry Top-Sider,FALSE,
AVpe_urTLJeJML430Dwg,Women's Skechers Energy Burst Equinox Bungee Lace Shoe Charcoal/Coral by Skechers,62.95,FALSE,,,,,Skechers,,FALSE,United States
AVpe_UTu1cnluZ0-bcOs,Tredsafe Women's Sara Grey  Slip Resistant Shoe,22.82,FALSE,Grey,,,,Tredsafe,,FALSE,
AVpe_uvd1cnluZ0-blS5,Yu&yu Women's Shoes Comfort Flat Heel Leather Loafers Shoes More Colors Available,210.31,FALSE,"Camel,Brown",,,,,Qianyuyu,FALSE,
AVpe_UxyLJeJML43z6yV,Ellen Tracy Womens Black Suede Leather High Heel Pumps Shoes Bow New Harlow 6.5,19,FALSE,Blacks,Suede,New without box,,Ellen Tracy,,TRUE,
AVpe_V8hilAPnD_xSfd3,2 Lips Too Too Demand   Open Toe Synthetic  Wedge Heel,40,FALSE,Black,Synthetic,,,2 Lips Too,2 Lips Too,FALSE,
AVpe_VcL1cnluZ0-bclx,"Easy Spirit Womens Murano Suede Square Toe Ankle Fashion Boots, Brown, Size 9.0",56.99,FALSE,,,,Casual,Easy Spirit,Easy Spirit,TRUE,
AVpe_vHHLJeJML430D5_,"Sneed- Customizable Women's Dance Shoes Latin Sparkling Glitter Customized Heel Silver/gold, Silver-us6.5-7 / Eu37 / Uk4.5-5 / Cn37 , Silver-us6.5-7 / Eu37 / Uk4.5-5 / Cn37",70,FALSE,,,,,,SNEED,FALSE,
AVpe_vIALJeJML430D6Z,Blowfish Women's Hiro Whiskey Dcpu Ankle-high Synthetic Sandal - 8m,39.12,FALSE,,,,,Blowfish,Blowfish,FALSE,
AVpe_W2uilAPnD_xSfxj,Dune London Women Harah Silver Leather Jewelled Block Heel Sandal Sz 7m/38 $125,39.99,FALSE,Silver,Leather,New with box,,Dune London,,FALSE,
AVpe_W5yLJeJML43z7eP,Aerosoles Nuwlywed   Round Toe Leather  Loafer,35.34,FALSE,"Dark Silver Leather,White,Dark Tan Leather,Grey,Blue Combo,Gray",Leather,,Casual,Aerosoles,Aerosoles,TRUE,
AVpe_W7q1cnluZ0-bdDV,A1650 - Vans Authentic Lo Pro Shoes * New Womens Size 8 Cosmic Galaxy - #25682,39.66,FALSE,Multi-Color,Textile,New with box,,Vans,,FALSE,
AVpe_xEE1cnluZ0-bmD6,Micahel Kors Dress Black Heel Womens Size 10 M New $197,24.99,FALSE,Black,Leather,New with defects,,Micahel Kors,,FALSE,
